Date,MV_35952H601,MV_AAPL,MV_AMD,MV_AMZN,MV_CVS,MV_EBAY,MV_FCEL,MV_GOOGL,MV_IYW,MV_MAR,MV_MSFT,MV_NEE,MV_NFLX,MV_NVDA,MV_SCWO,MV_TSLA,MV_XOM,portfolio_value,cash_balance,total_value,cash_balance_clean,total_value_clean,cumulative_deposits
2025-06-09,0.0,201.0267639160156,0.0,216.97999572753903,125.31761932373047,0.0,7.469999790191642,175.817626953125,328.0238037109375,0.0,0.0,141.7367706298828,1224.459991455078,1426.041259765625,45.099999606609344,308.5799865722656,309.3013229370117,4509.855140388012,0.8800000000001319,4510.735140388012,876.8800000000001,5386.735140388012,-59.820000000000334
2025-06-10,0.0,202.2441864013672,0.0,217.61000061035156,126.10256958007812,0.0,6.719999790191643,178.3237762451172,329.6824035644531,0.0,0.0,143.53065490722656,1203.6199951171877,1439.3388366699219,44.00000065565109,326.0899963378906,315.93111419677734,4533.193534076214,3.850000000000132,4537.043534076214,879.8500000000001,5413.043534076214,-59.820000000000334
2025-06-11,0.0,198.36236572265625,0.0,213.1999969482422,128.96763610839844,0.0,6.639999866485589,177.07569885253906,328.7032470703125,0.0,0.0,143.9051971435547,1219.8799896240234,1428.1399536132812,45.099999606609344,326.42999267578125,322.0894317626953,4538.493508994579,3.850000000000132,4542.34350899458,879.8500000000001,5418.34350899458,-59.820000000000334
2025-06-12,0.0,198.7814788818359,0.0,213.2400054931641,130.20394897460938,0.0,6.32000017166137,175.42823791503906,331.2011413574219,0.0,0.0,145.56109619140625,1215.0299835205078,1449.8374938964844,45.099999606609344,319.1099853515625,323.3269958496094,4553.140367209911,4.680000000000132,4557.820367209912,880.6800000000002,5433.820367209912,-59.820000000000334
2025-06-13,0.0,196.03726196289065,0.0,212.1000061035156,132.38218688964844,0.0,6.0300002098083425,174.39984130859375,326.2852783203125,0.0,0.0,147.41412353515625,1212.1499633789062,1419.5408630371094,39.600001573562615,325.30999755859375,330.36930084228516,4521.618824720383,4.680000000000132,4526.298824720383,880.6800000000002,5402.298824720383,-59.820000000000334
2025-06-16,0.0,198.0031280517578,0.0,216.1000061035156,132.87277221679688,0.0,6.940000057220451,176.49659729003906,331.695556640625,0.0,0.0,145.4428253173828,1225.3500366210938,1446.7378234863281,42.89999842643737,329.1300048828125,331.43007659912115,4583.0988256931305,6.020000000000132,4589.118825693131,882.0200000000002,5465.118825693131,-59.820000000000334
2025-06-17,0.0,195.2289581298828,0.0,214.82000732421875,131.65609741210938,0.0,5.900000095367425,175.6778564453125,329.67620849609375,0.0,0.0,141.6579132080078,1220.6700134277344,1441.0383605957031,40.700000524520874,316.3500061035156,335.90883636474615,4549.2842581272125,6.020000000000132,4555.304258127213,882.0200000000002,5431.304258127213,-59.820000000000334
2025-06-18,0.0,196.16697692871097,0.0,212.52000427246097,131.16549682617188,0.0,6.079999923706048,173.05194091796875,330.1760559082031,0.0,0.0,141.08624267578125,1222.289962768555,1454.6368408203125,44.00000065565109,322.04998779296875,333.5221252441406,4566.745634734631,6.020000000000132,4572.765634734631,882.0200000000002,5448.765634734631,-59.820000000000334
2025-06-20,0.0,200.57769775390625,0.0,209.69000244140625,130.6356658935547,0.0,5.960000038146966,166.38226318359375,328.11669921875,0.0,0.0,141.00738525390625,1231.4099884033205,1438.3387756347656,39.600001573562615,322.1600036621094,337.97142791748047,4551.849910974503,6.190000000000132,4558.039910974503,882.1900000000002,5434.039910974503,-59.820000000000334
2025-06-23,0.0,201.07666015625,0.0,208.47000122070312,131.1066436767578,0.0,5.880000114440912,164.9344940185547,331.335693359375,0.0,0.0,139.4303436279297,1253.539962768555,1441.5383911132812,42.89999842643737,348.67999267578125,329.2495880126953,4598.141769170761,6.190000000000132,4604.331769170762,882.1900000000002,5480.331769170762,-59.820000000000334
2025-06-24,0.0,199.87918090820312,0.0,212.77000427246097,132.61769104003906,0.0,5.929999828338617,166.51206970214844,337.1138610839844,0.0,0.0,140.75112915039062,1279.1100311279295,1478.8340759277344,45.099999606609344,340.4700012207031,319.2312698364258,4658.3193137049675,6.190000000000132,4664.509313704968,882.1900000000002,5540.509313704968,-59.820000000000334
2025-06-25,0.0,201.13653564453125,0.0,211.9900054931641,130.2432098388672,0.0,5.800000190734857,170.41600036621094,340.212890625,0.0,0.0,138.66152954101562,0.0,1542.9270935058594,42.89999842643737,327.54998779296875,319.31966400146484,3431.1569154262543,1293.03,4724.186915426254,2169.03,5600.186915426255,1227.0199999999995
2025-06-26,0.0,200.57769775390625,0.0,217.1199951171875,133.7165985107422,0.0,5.960000038146966,173.27159118652344,343.11199951171875,0.0,0.0,139.94287109375,0.0,1550.0262451171875,45.099999606609344,325.7799987792969,324.0931091308594,3458.700105845928,0.0,3458.700105845928,2169.03,5627.730105845929,-66.01000000000045
